time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/iterations,train/clip_range,train/policy_gradient_loss,train/explained_variance,train/learning_rate,train/approx_kl,train/n_updates,train/clip_fraction,train/value_loss,train/loss,train/entropy_loss
520192,469,211.68,66.69720000000001,1108,254,0.2,-0.006736195641860831,0.7667781114578247,0.0003,0.0043753767,2530,0.046044921875,36.90307726860046,14.579802513122559,-0.4545013181865215
522240,471,207.7,66.97,1108,255,0.2,-0.006116119027137756,0.7392948269844055,0.0003,0.003703921,2540,0.01630859375,32.78714771270752,13.487486839294434,-0.4592004343867302
524288,473,206.53,66.21170000000001,1107,256,0.2,-0.007113615371054038,0.7125864624977112,0.0003,0.0032772417,2550,0.026416015625,34.14882078170776,16.92729377746582,-0.4626404747366905
526336,475,211.24,69.39159999999998,1106,257,0.2,-0.008348884421866386,0.6873283386230469,0.0003,0.0034161748,2560,0.028564453125,39.987230110168454,18.98509979248047,-0.46348341181874275
528384,477,213.43,70.36569999999999,1105,258,0.2,-0.0040028199786320325,0.6614161729812622,0.0003,0.003098406,2570,0.02265625,59.960664653778075,29.456512451171875,-0.44291201159358023
530432,480,213.27,71.83229999999999,1104,259,0.2,-0.008542245550779625,0.7376976013183594,0.0003,0.004642059,2580,0.0369140625,48.63783149719238,22.81105613708496,-0.4549176827073097
532480,482,201.73,66.8537,1103,260,0.2,-0.006256018273415975,0.7369019985198975,0.0003,0.0036972412,2590,0.0255859375,46.81376600265503,20.760929107666016,-0.4418832466006279
534528,484,206.31,66.4919,1102,261,0.2,-0.007580067456001416,0.666581392288208,0.0003,0.00296855,2600,0.02919921875,54.705853366851805,24.249658584594727,-0.4513033851981163
536576,486,201.53,67.21870000000001,1102,262,0.2,-0.008059828786645084,0.7110217213630676,0.0003,0.0036635054,2610,0.035693359375,52.58401365280152,29.60179328918457,-0.44894578754901887
538624,488,198.92,67.28179999999999,1102,263,0.2,-0.005600304983090609,0.7601644992828369,0.0003,0.0028760224,2620,0.01591796875,37.41099772453308,16.196720123291016,-0.4398550376296043
540672,490,190.14,64.5866,1101,264,0.2,-0.006313660304294899,0.8156517148017883,0.0003,0.0030631104,2630,0.02451171875,35.99644403457641,14.586363792419434,-0.4222295738756657
542720,492,194.69,66.39110000000001,1100,265,0.2,-0.006357907986966893,0.592532753944397,0.0003,0.0032415744,2640,0.02880859375,56.595352458953855,24.900163650512695,-0.41765692085027695
544768,494,190.49,63.8781,1100,266,0.2,-0.007984388625482097,0.7170284986495972,0.0003,0.003783063,2650,0.045654296875,41.329916667938235,19.902137756347656,-0.43251303508877753
546816,496,190.48,63.35319999999999,1101,267,0.2,-0.007211899198591709,0.6106642484664917,0.0003,0.004490601,2660,0.0330078125,44.641225051879886,22.097665786743164,-0.42722086906433104
548864,498,190.02,63.20279999999999,1100,268,0.2,-0.008173471293412149,0.7531035542488098,0.0003,0.0037689866,2670,0.02626953125,31.182085466384887,15.11355972290039,-0.4267550341784954
550912,500,191.38,62.6922,1099,269,0.2,-0.0068072040856350215,0.8213022947311401,0.0003,0.0041843224,2680,0.022509765625,28.201362991333006,11.985799789428711,-0.4132174216210842
552960,502,194.42,66.5468,1099,270,0.2,-0.009803257405292243,0.8219571113586426,0.0003,0.0041089286,2690,0.05234375,34.99091649055481,14.97673225402832,-0.41769776940345765
555008,505,189.21,64.4649,1098,271,0.2,-0.005511575736454688,0.730961263179779,0.0003,0.0030830759,2700,0.033935546875,45.951469039916994,23.09412384033203,-0.4123975545167923
557056,507,193.72,66.4438,1098,272,0.2,-0.005968671396840364,0.6172240376472473,0.0003,0.00293453,2710,0.0181640625,49.53656120300293,23.25798225402832,-0.4126508064568043
559104,508,194.51,67.0879,1098,273,0.2,-0.008138530375435948,0.7559512257575989,0.0003,0.0038742134,2720,0.043310546875,36.314061880111694,15.342546463012695,-0.40964021012187
561152,510,192.93,66.5477,1098,274,0.2,-0.006237807980505749,0.7377772331237793,0.0003,0.003170812,2730,0.020751953125,33.77624192237854,15.548468589782715,-0.427399792522192
563200,513,187.35,64.5685,1097,275,0.2,-0.007500164955854416,0.7786856293678284,0.0003,0.0037868186,2740,0.044921875,39.050574111938474,19.497329711914062,-0.40609057396650317
