total_timesteps,entropy_loss,eval_mean_reward
130000,,11.910000
131000,,11.910000
132000,,20.710000
133000,,20.710000
134000,,12.110000
135000,,12.110000
136000,,11.810000
137000,,11.810000
138000,,0.210000
139000,,0.210000
140000,,3.110000
141000,,3.110000
142000,,-17.090000
143000,,-17.090000
144000,,11.910000
145000,,11.910000
146000,,20.610000
147000,,20.610000
148000,,29.810000
149000,,29.810000
150000,,11.910000
151000,,11.910000
152000,,29.710000
153000,,29.710000
154000,,12.110000
155000,,12.110000
156000,,-7.790000
157000,,-7.790000
158000,,21.210000
159000,,21.210000
160000,,12.410000
161000,,12.410000
162000,,12.110000
163000,,12.110000
164000,,12.410000
165000,,12.410000
166000,,12.310000
167000,,12.310000
168000,,21.510000
169000,,21.510000
170000,,12.110000
171000,,12.110000
172000,,12.110000
173000,,12.310000
174000,,12.310000
175000,,12.310000
176000,,12.310000
177000,,38.910000
178000,,38.910000
179000,,12.110000
180000,,12.110000
181000,,12.210000
182000,,12.210000
183000,,12.110000
184000,,12.110000
185000,,11.910000
186000,,11.910000
187000,,12.210000
188000,,12.210000
189000,,12.210000
190000,,12.210000
191000,,12.410000
192000,,12.410000
193000,,12.410000
194000,,12.410000
195000,,12.110000
196000,,12.110000
197000,,21.010000
198000,,21.010000
199000,,12.110000
200000,,12.110000
201000,,12.110000
202000,,12.110000
203000,,-4.090000
204000,,-4.090000
205000,,11.910000
206000,,11.910000
207000,,29.810000
208000,,29.810000
209000,,11.910000
210000,,11.910000
211000,,38.310000
212000,,38.310000
213000,,-5.690000
214000,,-5.690000
215000,,-5.690000
216000,,-5.690000
217000,,-5.690000
218000,,20.710000
219000,,20.710000
220000,,29.510000
221000,,29.510000
222000,,3.510000
223000,,3.510000
224000,,47.710000
225000,,47.710000
226000,,12.110000
227000,,12.110000
228000,,21.110000
229000,,21.110000
230000,,12.710000
231000,,12.710000
232000,,12.710000
233000,,12.710000
234000,,12.410000
235000,,12.410000
236000,,11.910000
237000,,11.910000
238000,,12.410000
239000,,12.410000
240000,,39.510000
241000,,39.510000
242000,,12.510000
243000,,12.510000
244000,,12.510000
245000,,12.510000
246000,,12.510000
247000,,12.510000
248000,,12.510000
249000,,12.510000
250000,,10.910000
251000,,10.910000
252000,,-6.690000
253000,,-6.690000
254000,,21.310000
255000,,21.310000
256000,,21.310000
257000,,21.610000
258000,,21.610000
259000,,21.610000
260000,,21.610000
261000,,12.210000
262000,,12.210000
263000,,21.210000
264000,,21.210000
265000,,21.210000
266000,,21.210000
267000,,38.810000
268000,,38.810000
269000,,12.210000
270000,,12.210000
271000,,12.210000
272000,,12.210000
273000,,12.210000
274000,,12.210000
275000,,-4.000000
276000,,-4.000000
277000,,12.210000
278000,,12.210000
279000,,48.610000
280000,,48.610000
281000,,48.210000
282000,,48.210000
283000,,92.000000
284000,,92.000000
285000,,47.910000
286000,,47.910000
287000,,48.010000
288000,,48.010000
289000,,39.310000
290000,,39.310000
291000,,27.710000
292000,,27.710000
293000,,48.610000
294000,,48.610000
295000,,48.010000
296000,,48.010000
297000,,66.210000
298000,,66.210000
299000,,66.210000
300000,,48.210000
301000,,48.210000
